arXiv ID,Primary category,Journal,Is proceedings,Presents new numerical results,UK authors,Generates field configurations,Specifies software used for configuration generation,Software used for configuration generation,Repository/hosting service for configuration generation code,Performs measurements,Specifies software used for measurement,Software used for measurements,Repository/hosting service for measurement code,Uses existing configurations,Configuration hosting infrastructure acknowledged,Cites existing configurations,Configurations generated by,Reanalyses other existing data,Cites other existing data,Publishes data,Data available on request?,Repository used for data,Specifies software used for analysis,Software used for analysis,Repository/hosting service for analysis code,Publishes parts of analysis,Publishes full analysis,Acknowledges an HPC centre,Acknowledges Supercomputing Wales,Acknowledges DiRAC,Review paper,Cites any other software,Comments
2106.03063,cond-mat.quant-gas,Phil.Trans.Roy.Soc.Lond.A,Y,N,Y,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,Y,N,N,Y,Footnote/inline URL,Acknowledges Itensor
2106.03165,hep-lat,Phys.Rev.Lett.,N,Y,N,Y?,No,,,Y,No,,,N?,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2106.03451,hep-lat,JHEP,N,Y,N,N,,,,Y,Paper citation,Chroma (modified),,Y,,Paper citation,CLS,N,,N,N,,Paper citation,Matplotlib,,N,N,Y,N,N,N,Paper citation,"Acknowledges Jaxodraw, Tikz"
2106.03875,hep-lat,Phys.Rev.D,N,Y,N,N?,,,,N,,,,N,,,,Y,Paper citation,N,N,,URL citation,lattice_Cn,GitHub,Y,N,N,N,N,N,,
2106.03896,hep-ph, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.04609,quant-ph,Phil.Trans.A.Math.Phys.Eng.Sci.,Y,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.04834,nucl-th,Eur.Phys.J.A,N,Y,N,Y?,No,,,Y?,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.05310,hep-ph,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.05398,hep-lat,JHEP,N,Y,N,N,,,,Y,Paper citation,,,Y,,Paper citation,CLS,Y,Paper citation,N,N,,Paper citation,"RunDec, Mathematica",,N,N,Y,N,N,N,,
2106.05590,hep-lat,JHEP,N,Y,N,N,,,,Y,Footnote/inline URL,contraction_optimizer,GitHub,Y,,Paper citation,CLS,N,,Y,Y,arXiv,Mentioned by name,"Python, Mathematica",,N,N,Y,N,N,N,,
2106.05660,hep-ph,JHEP,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,Y,N,GitLab,Mentioned by name,"Python, Mathematica",,N,N,N,N,N,N,,
2106.05674,hep-ph, ,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2106.05934,hep-lat,Phys.Rev.D,N,Y,Y,Y?,No,,,Y,No,,,N?,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.05979,hep-ph,JHEP,N,N,N,N,,,,N,,,,N,,,,Y,Paper citation,Y,N,Institutional website,Paper citation,"qgraf, q2e, exp, FORM, tapir, FIRE, FeynRules, FeynCalc, LiteRed, FIESTA",,N,N,N,N,N,N,,Broken link to CAS Fermat (on an ISP domain name)
2106.06192,cond-mat.str-el,Phys.Rev.B,N,Y,N,Y?,No,,,Y?,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.06310,cond-mat.stat-mech,SciPost Phys.,N,Y,N,N?,,,,N?,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2106.06357,hep-ph,Eur.Phys.J.A,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2106.06402,hep-th,JHEP,N,N,Y,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.07092,hep-lat, ,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.07107,hep-lat,Eur.Phys.J.A,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,ETMC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.07633,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,PACS-CS,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.08081,hep-lat,Acta Phys.Polon.Supp.,Y,Y,N,Y?,No,,,Y,No,,,N?,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2106.08102,hep-lat,Acta Phys.Polon.Supp.,Y,Y,N,Y?,No,,,Y,No,,,N?,,,,Y,No,N,N,,No,,,N,N,N,N,N,N,,
2106.08175,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,Bridge++,,Y,"ILDG, JLDG",Paper citation,PACS-CS,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.08394,quant-ph, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,Python,,N,N,Y,N,N,N,,
2106.08451,hep-ph,Chin.Phys.Lett.,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,Mentioned by name,DGLAP,,N,N,N,N,N,N,,
2106.08753,hep-th,Phys.Rev.D,N,Y,Y,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.08784,hep-lat,Phys.Rev.D,N,Y,N,Y?,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.09032,cond-mat.quant-gas,New J.Phys.,N,Y,N,N?,No,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.09080,hep-lat, ,N,Y,N,Y,No,,,Y,Data repository citation,GLU,GitHub,Y,JLDG,Paper citation,PACS-CS,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2106.09185,hep-ph,JHEP,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2106.09367,hep-lat, ,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.09417,hep-ph,JHEP,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2106.09610,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,Paper citation,FLAVIO,,N,N,N,N,N,N,,
2106.10074,hep-ph,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.10130,cond-mat.soft,Phys.Rev.E,N,Y,N,Y?,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.10986,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2106.11142,hep-th,PTEP,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.11319,hep-ph,Phys.Lett.B,N,Y,N,Y?,Paper citation,(Mace et al),,Y?,No,,,N?,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.11369,hep-ph, ,N,Y,N,Y,Paper citation,BQCD,,Y,No,,,Y,,Paper citation,(Nakamura and Schierholz),N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.11442,hep-th,JHEP,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.11450,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,No,N,N,,No,,,N,N,N,N,N,N,,
2106.11475,hep-lat,Indian J.Phys.,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.12601,cond-mat.str-el,Phys.Rev.B,N,Y,N,Y?,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.12635,hep-th, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2106.13027,hep-lat,Phys.Rev.Lett.,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,ETMC,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2106.13222,hep-lat,Eur.Phys.J.C,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2106.13335,hep-lat, ,N,Y,N,N?,,,,N?,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2106.13468,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,ETMC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.13534,hep-ph,Phys.Rev.D,N,Y,Y,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2106.13583,hep-ph,Phys.Rev.B,N,Y,N,N?,,,,N?,,,,N,,,,N,,N,N,,Paper citation,"MATLAB, Ncon, GSL",,N,N,Y,N,N,N,,
2106.14234,hep-lat,Eur.Phys.J.C,N,Y,N,Y,Data repository citation,Schwinger,GitHub,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
